time_period_start,time_period_end,time_open,time_close,price_open,price_high,price_low,price_close,volume_traded,trades_count,trend_date,bitcoin,ethereum,xrp,bitcoin_crash,bitcoin_trust
1/1/2022 0:01,1/2/2022 0:01,1/1/2022 0:01,1/1/2022 23:59,0.079544,0.08,0.079,0.079,35297.499,88391,1/1/2022,26,42,46,8,51
1/2/2022 0:01,1/2/2022 0:01,1/2/2022 0:01,1/2/2022 23:59,0.079544,0.08,0.079,0.079,35297.499,88391,1/2/2022,26,45,47,0,49
1/3/2022 0:01,1/4/2022 0:01,1/3/2022 0:01,1/3/2022 23:59,0.080963,0.081,0.08,0.081,53552.196,121300,1/3/2022,27,46,53,0,61
1/4/2022 0:01,1/5/2022 0:01,1/4/2022 0:01,1/4/2022 23:59,0.08107,0.083,0.081,0.083,60023.611,138840,1/4/2022,31,49,66,0,58
1/5/2022 0:01,1/6/2022 0:01,1/5/2022 0:01,1/5/2022 23:59,0.082589,0.083,0.08,0.081,63730.142,177114,1/5/2022,35,56,57,0,0
1/6/2022 0:01,1/7/2022 0:01,1/6/2022 0:01,1/6/2022 23:59,0.081459,0.081,0.078,0.079,88616.156,199317,1/6/2022,39,63,49,19,79
1/7/2022 0:01,1/8/2022 0:01,1/7/2022 0:01,1/7/2022 23:59,0.079072,0.079,0.075,0.077,101902.112,223461,1/7/2022,44,60,53,17,53
1/8/2022 0:01,1/9/2022 0:01,1/8/2022 0:01,1/8/2022 23:59,0.07695,0.077,0.073,0.074,68497.735,151094,1/8/2022,50,77,50,19,59
1/9/2022 0:01,1/10/2022 0:01,1/9/2022 0:01,1/9/2022 23:59,0.073923,0.076,0.074,0.075,58451.303,116137,1/9/2022,45,66,45,15,0
1/10/2022 0:01,1/11/2022 0:01,1/10/2022 0:01,1/10/2022 23:59,0.075287,0.076,0.073,0.074,74183.035,145675,1/10/2022,40,57,44,9,49
1/11/2022 0:01,1/12/2022 0:01,1/11/2022 0:01,1/11/2022 23:59,0.073714,0.076,0.073,0.076,56894.792,120365,1/11/2022,44,60,51,13,0
1/12/2022 0:01,1/13/2022 0:01,1/12/2022 0:01,1/12/2022 23:59,0.075829,0.077,0.075,0.077,61044.27,126098,1/12/2022,39,59,59,7,0
1/13/2022 0:01,1/14/2022 0:01,1/13/2022 0:01,1/13/2022 23:59,0.076789,0.077,0.076,0.076,50990.796,114312,1/13/2022,37,57,59,0,0
1/14/2022 0:01,1/15/2022 0:01,1/14/2022 0:01,1/14/2022 23:59,0.07615,0.077,0.076,0.077,43701.892,107933,1/14/2022,39,62,43,9,0
1/15/2022 0:01,1/16/2022 0:01,1/15/2022 0:01,1/15/2022 23:59,0.076809,0.078,0.077,0.077,33499.834,83639,1/15/2022,28,42,40,0,0
