time_period_start,time_period_end,time_open,time_close,price_open,price_high,price_low,price_close,fng_classification,fng,trend_date,bitcoin,ethereum,xrp,bitcoin_crash,bitcoin_trust
1/1/2022 0:01,1/2/2022 0:01,1/1/2022 0:01,1/1/2022 23:59,0.079544,0.08,0.079,0.079,21,Extreme Fear,1/1/2022,26,42,46,8,51
1/2/2022 0:01,1/2/2022 0:01,1/2/2022 0:01,1/2/2022 23:59,0.079544,0.08,0.079,0.079,29,Fear,1/2/2022,26,45,47,0,49
1/3/2022 0:01,1/4/2022 0:01,1/3/2022 0:01,1/3/2022 23:59,0.080963,0.081,0.08,0.081,29,Fear,1/3/2022,27,46,53,0,61
1/4/2022 0:01,1/5/2022 0:01,1/4/2022 0:01,1/4/2022 23:59,0.08107,0.083,0.081,0.083,23,Extreme Fear,1/4/2022,31,49,66,0,58
1/5/2022 0:01,1/6/2022 0:01,1/5/2022 0:01,1/5/2022 23:59,0.082589,0.083,0.08,0.081,24,Extreme Fear,1/5/2022,35,56,57,0,0
1/6/2022 0:01,1/7/2022 0:01,1/6/2022 0:01,1/6/2022 23:59,0.081459,0.081,0.078,0.079,15,Extreme Fear,1/6/2022,39,63,49,19,79
1/7/2022 0:01,1/8/2022 0:01,1/7/2022 0:01,1/7/2022 23:59,0.079072,0.079,0.075,0.077,18,Extreme Fear,1/7/2022,44,60,53,17,53
1/8/2022 0:01,1/9/2022 0:01,1/8/2022 0:01,1/8/2022 23:59,0.07695,0.077,0.073,0.074,10,Extreme Fear,1/8/2022,50,77,50,19,59
1/9/2022 0:01,1/10/2022 0:01,1/9/2022 0:01,1/9/2022 23:59,0.073923,0.076,0.074,0.075,23,Extreme Fear,1/9/2022,45,66,45,15,0
1/10/2022 0:01,1/11/2022 0:01,1/10/2022 0:01,1/10/2022 23:59,0.075287,0.076,0.073,0.074,23,Extreme Fear,1/10/2022,40,57,44,9,49
1/11/2022 0:01,1/12/2022 0:01,1/11/2022 0:01,1/11/2022 23:59,0.073714,0.076,0.073,0.076,21,Extreme Fear,1/11/2022,44,60,51,13,0
1/12/2022 0:01,1/13/2022 0:01,1/12/2022 0:01,1/12/2022 23:59,0.075829,0.077,0.075,0.077,22,Extreme Fear,1/12/2022,39,59,59,7,0
1/13/2022 0:01,1/14/2022 0:01,1/13/2022 0:01,1/13/2022 23:59,0.076789,0.077,0.076,0.076,21,Extreme Fear,1/13/2022,37,57,59,0,0
1/14/2022 0:01,1/15/2022 0:01,1/14/2022 0:01,1/14/2022 23:59,0.07615,0.077,0.076,0.077,21,Extreme Fear,1/14/2022,39,62,43,9,0
1/15/2022 0:01,1/16/2022 0:01,1/15/2022 0:01,1/15/2022 23:59,0.076809,0.078,0.077,0.077,23,Extreme Fear,1/15/2022,28,42,40,0,0
1/16/2022 0:01,1/17/2022 0:01,1/16/2022 0:01,1/16/2022 23:59,0.077204,0.078,0.077,0.078,21,Extreme Fear,1/16/2022,26,44,36,0,0
1/17/2022 0:01,1/18/2022 0:01,1/17/2022 0:01,1/17/2022 23:59,0.077702,0.078,0.076,0.076,22,Extreme Fear,1/17/2022,24,39,34,0,0
1/18/2022 0:01,1/19/2022 0:01,1/18/2022 0:01,1/18/2022 23:59,0.076053,0.076,0.074,0.075,24,Extreme Fear,1/18/2022,29,40,40,0,0
1/19/2022 0:01,1/20/2022 0:01,1/19/2022 0:01,1/19/2022 23:59,0.074606,0.075,0.074,0.074,24,Extreme Fear,1/19/2022,31,45,38,6,52
1/20/2022 0:01,1/21/2022 0:01,1/20/2022 0:01,1/20/2022 23:59,0.074034,0.075,0.074,0.074,24,Extreme Fear,1/20/2022,28,44,39,0,68
1/21/2022 0:01,1/22/2022 0:01,1/21/2022 0:01,1/21/2022 23:59,0.073789,0.074,0.069,0.07,19,Extreme Fear,1/21/2022,28,44,55,0,0
1/22/2022 0:01,1/23/2022 0:01,1/22/2022 0:01,1/22/2022 23:59,0.070449,0.072,0.067,0.069,13,Extreme Fear,1/22/2022,68,79,60,54,88
1/23/2022 0:01,1/24/2022 0:01,1/23/2022 0:01,1/23/2022 23:59,0.068779,0.071,0.068,0.07,11,Extreme Fear,1/23/2022,81,91,45,85,57
1/24/2022 0:01,1/25/2022 0:01,1/24/2022 0:01,1/24/2022 23:59,0.070034,0.07,0.065,0.067,13,Extreme Fear,1/24/2022,54,66,65,41,57
1/25/2022 0:01,1/26/2022 0:01,1/25/2022 0:01,1/25/2022 23:59,0.066544,0.067,0.066,0.067,12,Extreme Fear,1/25/2022,93,100,43,51,90
1/26/2022 0:01,1/27/2022 0:01,1/26/2022 0:01,1/26/2022 23:59,0.066535,0.07,0.066,0.067,23,Extreme Fear,1/26/2022,54,58,47,18,59
1/27/2022 0:01,1/28/2022 0:01,1/27/2022 0:01,1/27/2022 23:59,0.066918,0.068,0.065,0.065,20,Extreme Fear,1/27/2022,49,53,48,22,69
1/28/2022 0:01,1/29/2022 0:01,1/28/2022 0:01,1/28/2022 23:59,0.065245,0.068,0.064,0.067,24,Extreme Fear,1/28/2022,46,51,44,19,85
1/29/2022 0:01,1/30/2022 0:01,1/29/2022 0:01,1/29/2022 23:59,0.067484,0.069,0.067,0.068,24,Extreme Fear,1/29/2022,45,49,41,18,0
1/30/2022 0:01,1/31/2022 0:01,1/30/2022 0:01,1/30/2022 23:59,0.068163,0.069,0.068,0.069,29,Fear,1/30/2022,38,44,37,8,0
1/31/2022 0:01,2/1/2022 0:01,1/31/2022 0:01,1/31/2022 23:59,0.068674,0.07,0.067,0.07,20,Extreme Fear,1/31/2022,34,40,42,11,0
2/1/2022 0:01,2/2/2022 0:01,2/1/2022 0:01,2/1/2022 23:59,0.069852,0.072,0.07,0.072,26,Fear,2/1/2022,36,46,40,17,60
