,time_period_start,time_period_end,time_open,time_close,price_open,price_high,price_low,price_close,volume_traded,trades_count
0,2022-01-01T00:00:00.0000000Z,2022-01-02T00:00:00.0000000Z,2022-01-01T00:00:00.4230000Z,2022-01-01T23:59:59.7200000Z,0.079544,0.079886,0.07852,0.078911,35297.49889999999,88391
1,2022-01-03T00:00:00.0000000Z,2022-01-04T00:00:00.0000000Z,2022-01-03T00:00:00.4890000Z,2022-01-03T23:59:58.1640000Z,0.080963,0.081477,0.080358,0.081069,53552.1964,121300
2,2022-01-04T00:00:00.0000000Z,2022-01-05T00:00:00.0000000Z,2022-01-04T00:00:02.2870000Z,2022-01-04T23:59:59.5060000Z,0.08107,0.08292,0.08074,0.082585,60023.61139999999,138840
3,2022-01-05T00:00:00.0000000Z,2022-01-06T00:00:00.0000000Z,2022-01-05T00:00:00.8500000Z,2022-01-05T23:59:59.7390000Z,0.082589,0.082591,0.080234,0.081486,63730.14159999999,177114
4,2022-01-06T00:00:00.0000000Z,2022-01-07T00:00:00.0000000Z,2022-01-06T00:00:02.4610000Z,2022-01-06T23:59:59.5350000Z,0.081459,0.081462,0.077653,0.079072,88616.15610000001,199317
5,2022-01-07T00:00:00.0000000Z,2022-01-08T00:00:00.0000000Z,2022-01-07T00:00:00.3290000Z,2022-01-07T23:59:59.3600000Z,0.079072,0.079192,0.07538,0.076943,101902.1115,223461
6,2022-01-08T00:00:00.0000000Z,2022-01-09T00:00:00.0000000Z,2022-01-08T00:00:00.2560000Z,2022-01-08T23:59:58.9390000Z,0.07695,0.077093,0.07347,0.073922,68497.7347,151094
7,2022-01-09T00:00:00.0000000Z,2022-01-10T00:00:00.0000000Z,2022-01-09T00:00:02.2160000Z,2022-01-09T23:59:58.5430000Z,0.073923,0.075555,0.07375,0.075293,58451.30319999999,116137
8,2022-01-10T00:00:00.0000000Z,2022-01-11T00:00:00.0000000Z,2022-01-10T00:00:00.1120000Z,2022-01-10T23:59:57.5340000Z,0.075287,0.075548,0.0729,0.07371,74183.03499999999,145675
9,2022-01-11T00:00:00.0000000Z,2022-01-12T00:00:00.0000000Z,2022-01-11T00:00:06.0660000Z,2022-01-11T23:59:58.6860000Z,0.073714,0.076169,0.073308,0.075829,56894.79239999999,120365
10,2022-01-12T00:00:00.0000000Z,2022-01-13T00:00:00.0000000Z,2022-01-12T00:00:05.2540000Z,2022-01-12T23:59:59.6000000Z,0.075829,0.077409,0.07545,0.076789,61044.27040000001,126098
11,2022-01-13T00:00:00.0000000Z,2022-01-14T00:00:00.0000000Z,2022-01-13T00:00:01.0920000Z,2022-01-13T23:59:59.6830000Z,0.076789,0.07695,0.076102,0.076148,50990.7955,114312
