TOP,TOP_WEIGHT,RISING,RISING_PER,START_DATE,END_DATE
bitcoin price,100,hawk tuah coin,soared,2024-12-03 08:00:00+00:00,2024-12-10 08:00:00+00:00
bitcoin stock,15,paul down,"+1	600%",2024-12-03 08:00:00+00:00,2024-12-10 08:00:00+00:00
bitcoin usd,13,why is bitcoin going up,200%,2024-12-03 08:00:00+00:00,2024-12-10 08:00:00+00:00
bitcoin stock price,11,who started bitcoin,190%,2024-12-03 08:00:00+00:00,2024-12-10 08:00:00+00:00
bitcoin price usd,11,bitcoin price 2013,110%,2024-12-03 08:00:00+00:00,2024-12-10 08:00:00+00:00
xrp,10,satoshi nakamoto net worth,90%,2024-12-03 08:00:00+00:00,2024-12-10 08:00:00+00:00
bitcoin today,9,should i buy bitcoin now,80%,2024-12-03 08:00:00+00:00,2024-12-10 08:00:00+00:00
xrp price,9,will bitcoin crash,80%,2024-12-03 08:00:00+00:00,2024-12-10 08:00:00+00:00
what is bitcoin,8,how much was bitcoin when it first came out,80%,2024-12-03 08:00:00+00:00,2024-12-10 08:00:00+00:00
ethereum,7,bitcoin 100k,70%,2024-12-03 08:00:00+00:00,2024-12-10 08:00:00+00:00
bitcoin price today,7,when was bitcoin invented,60%,2024-12-03 08:00:00+00:00,2024-12-10 08:00:00+00:00
buy bitcoin,6,is bitcoin going to crash,60%,2024-12-03 08:00:00+00:00,2024-12-10 08:00:00+00:00
ethereum price,6,el salvador bitcoin,60%,2024-12-03 08:00:00+00:00,2024-12-10 08:00:00+00:00
crypto bitcoin,6,what is bitcoin and how does it work,60%,2024-12-03 08:00:00+00:00,2024-12-10 08:00:00+00:00
dogecoin,6,bitcoin rainbow chart,50%,2024-12-03 08:00:00+00:00,2024-12-10 08:00:00+00:00
crypto,6,how to invest in bitcoin,50%,2024-12-03 08:00:00+00:00,2024-12-10 08:00:00+00:00
dogecoin price,5,microsoft bitcoin,50%,2024-12-03 08:00:00+00:00,2024-12-10 08:00:00+00:00
price of bitcoin,5,who made bitcoin,50%,2024-12-03 08:00:00+00:00,2024-12-10 08:00:00+00:00
bitcoin worth,4,how do you buy bitcoin,50%,2024-12-03 08:00:00+00:00,2024-12-10 08:00:00+00:00
how much is bitcoin,4,bitcoin price 2009 to 2018,50%,2024-12-03 08:00:00+00:00,2024-12-10 08:00:00+00:00
bitcoin news,3,how does bitcoin work,50%,2024-12-03 08:00:00+00:00,2024-12-10 08:00:00+00:00
bitcoin cash,3,bitcoin price in 2013,50%,2024-12-03 08:00:00+00:00,2024-12-10 08:00:00+00:00
bitcoin etf,3,how many bitcoins are there,50%,2024-12-03 08:00:00+00:00,2024-12-10 08:00:00+00:00
coinbase,2,who owns bitcoin,40%,2024-12-03 08:00:00+00:00,2024-12-10 08:00:00+00:00
bitcoin mining,2,bitcoin price history chart,40%,2024-12-03 08:00:00+00:00,2024-12-10 08:00:00+00:00
price bitcoin,100,bitcoin treasure hunt,soared,2024-11-26 08:00:00+00:00,2024-12-02 08:00:00+00:00
bitcoin stock,14,bitcoin millionaire treasure hunt,"+3	400%",2024-11-26 08:00:00+00:00,2024-12-02 08:00:00+00:00
bitcoin usd,13,is xrp the next bitcoin,300%,2024-11-26 08:00:00+00:00,2024-12-02 08:00:00+00:00
bitcoin price usd,11,archer aviation stock,250%,2024-11-26 08:00:00+00:00,2024-12-02 08:00:00+00:00
bitcoin stock price,10,ripple xrp price,190%,2024-11-26 08:00:00+00:00,2024-12-02 08:00:00+00:00
xrp,9,xrp market cap,160%,2024-11-26 08:00:00+00:00,2024-12-02 08:00:00+00:00
bitcoin today,8,hbar price,130%,2024-11-26 08:00:00+00:00,2024-12-02 08:00:00+00:00
bitcoin price today,7,dell stock,130%,2024-11-26 08:00:00+00:00,2024-12-02 08:00:00+00:00
xrp price,7,crwd stock,110%,2024-11-26 08:00:00+00:00,2024-12-02 08:00:00+00:00
ethereum,7,ripple price,110%,2024-11-26 08:00:00+00:00,2024-12-02 08:00:00+00:00
dogecoin,6,xrp vs bitcoin,100%,2024-11-26 08:00:00+00:00,2024-12-02 08:00:00+00:00
what is bitcoin,6,xrp price prediction,90%,2024-11-26 08:00:00+00:00,2024-12-02 08:00:00+00:00
ethereum price,5,xlm crypto,90%,2024-11-26 08:00:00+00:00,2024-12-02 08:00:00+00:00
dogecoin price,5,xrp,90%,2024-11-26 08:00:00+00:00,2024-12-02 08:00:00+00:00
crypto bitcoin,5,xrp price,80%,2024-11-26 08:00:00+00:00,2024-12-02 08:00:00+00:00
crypto,5,rivian stock,80%,2024-11-26 08:00:00+00:00,2024-12-02 08:00:00+00:00
buy bitcoin,5,ripple,80%,2024-11-26 08:00:00+00:00,2024-12-02 08:00:00+00:00
price of bitcoin,4,joby stock,80%,2024-11-26 08:00:00+00:00,2024-12-02 08:00:00+00:00
how much is bitcoin,3,achr stock,60%,2024-11-26 08:00:00+00:00,2024-12-02 08:00:00+00:00
bitcoin news,3,xrp price usd,60%,2024-11-26 08:00:00+00:00,2024-12-02 08:00:00+00:00
bitcoin mining,2,sui price,60%,2024-11-26 08:00:00+00:00,2024-12-02 08:00:00+00:00
bitcoin chart,2,xrp news,50%,2024-11-26 08:00:00+00:00,2024-12-02 08:00:00+00:00
bitcoin cash,2,xlm price,50%,2024-11-26 08:00:00+00:00,2024-12-02 08:00:00+00:00
bitcoin etf,2,bitcoin atm,50%,2024-11-26 08:00:00+00:00,2024-12-02 08:00:00+00:00
mstr,2,bitcoin atm near me,50%,2024-11-26 08:00:00+00:00,2024-12-02 08:00:00+00:00
bitcoin price,100,did bitcoin hit 100k,850%,2024-11-19 08:00:00+00:00,2024-11-25 08:00:00+00:00
bitcoin stock,15,snow stock,650%,2024-11-19 08:00:00+00:00,2024-11-25 08:00:00+00:00
bitcoin usd,12,mstu stock,450%,2024-11-19 08:00:00+00:00,2024-11-25 08:00:00+00:00
bitcoin stock price,11,scott bessent bitcoin,400%,2024-11-19 08:00:00+00:00,2024-11-25 08:00:00+00:00
bitcoin price usd,11,snowflake stock,300%,2024-11-19 08:00:00+00:00,2024-11-25 08:00:00+00:00
